source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,g_rp,phot_g_mean_mag,phot_g_mean_flux_over_error
1573365821832386432,181.0061971038349,0.013299596,55.26059729490071,0.013476145,12.786199353227731,0.018483784,1.1254826,14.596317,2948.5476
1573383173500310400,180.57432067861802,0.011446523,55.06382343969399,0.011862414,14.418681058540562,0.016485019,1.1491213,14.254611,3199.7827
1573554388076652928,182.67827938341384,0.009711705,55.3147634977192,0.009762146,13.498581856501996,0.013173373,0.7820854,11.585343,4018.6301
1573754151299460864,181.28735228954918,0.0075298785,55.56467632654615,0.0074245846,10.408589748082036,0.010364025,0.5875311,10.833785,9776.381
1573775424273358592,181.6421500062894,0.008881931,55.84181769532876,0.009278042,10.963940775864053,0.012738951,0.7721901,11.728574,4429.7456
1573777073540802560,181.52114414574805,0.022284517,55.94412189314569,0.022804575,11.072008054356747,0.031276863,1.2260551,15.827756,2208.7212
1573807035232718208,180.83609199827873,0.034238186,55.78249105703892,0.03396645,10.217039268843518,0.04953784,1.2561579,16.703117,1385.8757
1573811983035047936,180.61208856437247,0.00924842,55.916507282571246,0.00978966,10.239023773059417,0.013399988,0.45331955,9.240508,7709.187
1573828544428950912,180.18784953131035,0.010865874,56.079530865852014,0.012121239,14.155833881868617,0.016215669,0.65759945,10.370933,3748.1375
1573832083482009216,180.00697030335246,0.011123094,56.231939972444685,0.011438415,10.851050946947945,0.015532431,1.1380615,13.92411,1330.8424
1573865824745044608,180.22792786868308,0.019835358,56.53067294168075,0.021610003,17.09479352401855,0.029454485,1.265007,15.448376,1931.4933
1573891628908513152,181.1988423497495,0.026490493,56.28893278299126,0.025183572,10.192475896192562,0.035803623,1.1649752,16.040297,2201.6353
1573896198753650944,181.4021839662666,0.020568786,56.394863843666194,0.020992829,50.03910614418915,0.02886083,1.3529558,14.254209,1714.7302
1573906021343692160,181.83200869257965,0.07117908,56.44229181961221,0.082736544,20.062163919446952,0.10443793,1.4709625,17.525826,868.03357
1573928531267468288,181.122879421077,0.012193123,56.773643825204765,0.011294825,10.471225452149943,0.016069906,0.69603634,11.313612,4143.6294
1573953854394682496,180.69540046801075,0.040633272,56.73282275081778,0.04065775,15.801457790411503,0.054723736,1.326478,16.739866,1316.8752
1573984400202061824,180.90009068034766,0.0077449433,57.00888273298686,0.0073508974,12.578087804846895,0.010123834,0.97372913,12.617703,3145.726
1574114211294720384,186.70631775633035,0.009513712,55.174626078162746,0.00982062,10.504391851016198,0.013280113,0.68119526,11.045765,4458.0464
1574128401866193792,186.32245596964194,0.009059303,55.51558761043018,0.00960707,18.709031647227537,0.012381536,1.0738916,13.694747,4372.718
1574168362241520000,187.05966502925304,0.011616305,55.437409507406755,0.011936694,17.01466040357966,0.016819416,1.0185881,12.777409,3662.245
1574199595243645184,187.54611515530695,0.012198955,55.92271163545366,0.014645903,11.531173370817507,0.01857063,1.031765,14.405254,3175.35
1574259759145601152,186.55575739319073,0.03498184,56.09554897857471,0.035765596,21.56941544046768,0.046925917,1.3938999,16.021944,1551.2299
1574402317700077568,184.62121590520823,0.022249311,56.13632847643572,0.023634834,13.989872541594105,0.030200826,1.0105486,12.980649,2979.8127
1574412316383910144,184.570234679536,0.25563934,56.407003267641365,0.25164983,9.241537423312048,0.34773618,1.2311344,14.33976,409.22327
